"user_id","yrsLessons"
4597,"6-10 years"
4601,"More than 10 years"
4611,"More than 10 years"
4629,"6-10 years"
4634,"2-4 years"
4643,"More than 10 years"
4647,"2-4 years"
4654,"More than 10 years"
4655,"2-4 years"
4658,"4-6 years"
4661,"6-10 years"
4667,"4-6 years"
4673,"2-4 years"
4674,"4-6 years"
4677,"6-10 years"
4680,"4-6 years"
4686,"1-2 years"
4689,"2-4 years"
4690,"More than 10 years"
4708,"6-10 years"
4715,"More than 10 years"
4717,"2-4 years"
4726,"More than 10 years"
4728,"Less than a year"
4730,"4-6 years"
4739,"More than 10 years"
4746,"1-2 years"
4751,"4-6 years"
4753,"6-10 years"
4762,"More than 10 years"
4765,"2-4 years"
4766,"1-2 years"
4781,"2-4 years"
4782,"More than 10 years"
4787,"Less than a year"
4793,"More than 10 years"
4798,"1-2 years"
4819,"1-2 years"
4821,"Less than a year"
4831,"Less than a year"
4839,"6-10 years"
4842,"Less than a year"
4846,"6-10 years"
4849,"6-10 years"
4855,"6-10 years"
4856,"6-10 years"
4862,"4-6 years"
4871,"1-2 years"
4872,"1-2 years"
4876,"Less than a year"
4908,"6-10 years"
4910,"More than 10 years"
4911,"More than 10 years"
4912,"1-2 years"
4921,"2-4 years"
4922,"More than 10 years"
4923,"6-10 years"
4929,"1-2 years"
4935,"4-6 years"
4942,"1-2 years"
4943,"6-10 years"
4952,"More than 10 years"
4960,"2-4 years"
4961,"4-6 years"
4963,"Less than a year"
4964,"More than 10 years"
4967,"1-2 years"
4971,"More than 10 years"
4978,"2-4 years"
4981,"1-2 years"
4986,"2-4 years"
4994,"4-6 years"
4998,"1-2 years"
5009,"More than 10 years"
5011,"Less than a year"
5013,"6-10 years"
5017,"6-10 years"
5019,"2-4 years"
5022,"6-10 years"
5036,"More than 10 years"
5038,"4-6 years"
5045,"6-10 years"
5064,"4-6 years"
5068,"6-10 years"
5074,"4-6 years"
5078,"Less than a year"
5081,"4-6 years"
5082,"6-10 years"
5093,"4-6 years"
5121,"1-2 years"
5123,"More than 10 years"
5129,"6-10 years"
5138,"More than 10 years"
5149,"More than 10 years"
5155,"2-4 years"
5162,"4-6 years"
5166,"4-6 years"
5173,"2-4 years"
5179,"More than 10 years"
5188,"More than 10 years"
5191,"More than 10 years"
5196,"6-10 years"
5199,"6-10 years"
5207,"1-2 years"
5208,"6-10 years"
5217,"1-2 years"
5222,"6-10 years"
5223,"1-2 years"
5224,"Less than a year"
5235,"6-10 years"
5238,"4-6 years"
5240,"2-4 years"
5246,"1-2 years"
5264,"2-4 years"
5283,"6-10 years"
5284,"Less than a year"
5286,"2-4 years"
5287,"6-10 years"
5291,"4-6 years"
5297,"Less than a year"
5300,"6-10 years"
5303,"More than 10 years"
5304,"More than 10 years"
5308,"1-2 years"
5309,"1-2 years"
5310,"Less than a year"
5311,"2-4 years"
5312,"6-10 years"
5321,"2-4 years"
5323,"2-4 years"
5328,"2-4 years"
5337,"4-6 years"
5338,"6-10 years"
5341,"6-10 years"
5342,"More than 10 years"
5345,"2-4 years"
5350,"More than 10 years"
5352,"6-10 years"
5357,"More than 10 years"
5359,"6-10 years"
5361,"Less than a year"
5363,"2-4 years"
5364,"Less than a year"
5369,"6-10 years"
5376,"1-2 years"
5384,"More than 10 years"
5392,"Less than a year"
5394,"6-10 years"
5398,"4-6 years"
5400,"1-2 years"
5405,"4-6 years"
5407,"6-10 years"
5410,"1-2 years"
5425,"6-10 years"
5428,"2-4 years"
5436,"2-4 years"
5444,"1-2 years"
5446,"More than 10 years"
5447,"6-10 years"
5454,"2-4 years"
5455,"4-6 years"
5456,"2-4 years"
5457,"2-4 years"
5466,"More than 10 years"
5473,"2-4 years"
5475,"More than 10 years"
5481,"Less than a year"
5483,"6-10 years"
5487,"2-4 years"
5494,"2-4 years"
5505,"More than 10 years"
5513,"4-6 years"
5514,"More than 10 years"
5522,"Less than a year"
5524,"4-6 years"
5526,"6-10 years"
5530,"1-2 years"
5538,"2-4 years"
5547,"1-2 years"
5557,"1-2 years"
5564,"Less than a year"
5569,"6-10 years"
5574,"1-2 years"
5576,"2-4 years"
5585,"1-2 years"
5593,"1-2 years"
5596,"1-2 years"
5603,"1-2 years"
5606,"1-2 years"
5621,"Less than a year"
5631,"4-6 years"
5640,"4-6 years"
5649,"1-2 years"
5654,"More than 10 years"
5656,"2-4 years"
5658,"6-10 years"
5659,"4-6 years"
5660,"6-10 years"
5661,"1-2 years"
5669,"More than 10 years"
5675,"6-10 years"
5681,"6-10 years"
5686,"2-4 years"
5695,"1-2 years"
5698,"2-4 years"
5706,"2-4 years"
5708,"1-2 years"
5710,"2-4 years"
5712,"2-4 years"
5713,"1-2 years"
5722,"1-2 years"
5723,"Less than a year"
5724,"2-4 years"
5727,"4-6 years"
5734,"6-10 years"
5740,"2-4 years"
5741,"1-2 years"
5747,"4-6 years"
5748,"6-10 years"
5754,"4-6 years"
5755,"2-4 years"
5763,"More than 10 years"
5764,"1-2 years"
5766,"4-6 years"
5775,"More than 10 years"
5778,"4-6 years"
5795,"4-6 years"
5797,"Less than a year"
5798,"6-10 years"
5800,"Less than a year"
5812,"6-10 years"
5813,"1-2 years"
